Name,Location,Founded,Employee,About,Skills,Link
1mg - Software Development Engineer III,Job available in Bangalore,Founded in 2015,500 - 1000 employees,1mg is a pharmacy marketplace. Allows consumers to do a price comparison among multiple brands of medicines with the same composition and place orders. Prescriptions can be uploaded while placing the order.,"Python
Java
Ruby
Django
Ruby on Rails",https://www.instahyre.com/job-295335-software-development-engineer-iii-at-1mg-bangalore/
Adobe - AI Engineer,Job available in Bangalore,Founded in 1982,More than 1000 employees,"Founded in 1982 and headquartered in San Jose, California, Adobe has historically focused upon the creation of multimedia and creativity software products, with a more recent foray towards rich Internet application software development.","Python
PyTorch
OpenCV
TensorFlow
Computer Vision",https://www.instahyre.com/job-295410-ai-engineer-at-adobe-bangalore/
Allen Career Institute - Data Engineer,Job available in Bangalore,Founded in 1988,More than 1000 employees,"Allen is a career coaching institute that offers classroom, distance learning, and online courses to students who are appearing for national-level entrance exams while operating across 35 cities nationwide.","Python
ETL
AWS
Hadoop
MySQL",https://www.instahyre.com/job-295398-data-engineer-at-allen-career-institute-bangalore/
AmberStudent - Software Engineer,Job available in Noida,Founded in 2016,50 - 200 employees,"AmberStudent is a one-click platform for cross-border students to book accommodation without the hassle of negotiation, non-standardised and cumbersome paperwork, lack of credit score.","Python
CI - CD
Shell Scripting
DevOps
Bash",https://www.instahyre.com/job-295330-software-engineer-at-amberstudent-noida/
Arista Networks - Backend Developer,Job available in Pune,Founded in 2004,More than 1000 employees,"US headquartered Arista Networks provides software-driven cloud networking solutions for large data center, cloud computing, high-performance computing and high-frequency trading environments. Products includes Low latency switches.","Python
Java
Golang
C++",https://www.instahyre.com/job-295474-backend-developer-at-arista-networks-pune/
Branch International - Senior Analyst - Credit & Analytics,Job available in Work From Home,Founded in 2015,50 - 200 employees,Branch delivers world-class financial services to the mobile generation applying machine to create an algorithmic approach to determine credit worthiness via customers' smartphones.,"Python
SQL
Data Analysis
R",https://www.instahyre.com/job-295465-senior-analyst-credit-analytics-at-branch-international-work-from-home/
Carrier - Secops Engineer,Job available in Bangalore,Founded in 1915,More than 1000 employees,"Carrier is a leading manufacturer and distributor of heating, air-conditioning, ventilation, and refrigeration solutions for residential, commercial, retail, transport, and food industry across 160 countries.","Python
AWS
Monitoring
Network Security
Information Security",https://www.instahyre.com/job-295406-secops-engineer-at-carrier-bangalore/
CS Soft Solutions - Golang - Backend Developer,Job available in Work From Home,Founded in 2009,200 - 500 employees,"CS Soft Solutions is an IT service company that caters to designing, web development, custom software development, digital marketing, and mobile application development needs of SMEs and startups.","Python
Golang
Java
React.js
JSF",https://www.instahyre.com/job-295470-golang-backend-developer-at-cs-soft-solutions-work-from-home/
DynamoFL - QA - Test Automation,Job available in Work From Home,Founded in 2021,10 - 50 employees,DynamoFL is an AI-based technology company that enables enterprise teams to train highly personalized ML models without ever having to collect user data and delivers faster generative AI solutions.,"Python
Selenium
Java
Node.js
Kubernetes",https://www.instahyre.com/job-295399-qa-test-automation-at-dynamofl-work-from-home/
Inference Labs - Senior Software Engineer,Job available in Bangalore,Founded in 2018,10 - 50 employees,"Inference Labs is an advanced analytics company and a trusted partner offering services for sales, marketing, computer vision, embedded analytics, and converse AI to Fortune 500 companies and unicorns globally.","Python
Django
Spark
Multithreading
Kubernetes",https://www.instahyre.com/job-295481-senior-software-engineer-at-inference-labs-bangalore/
Inference Labs - Software Engineer,Job available in Bangalore,Founded in 2018,10 - 50 employees,"Inference Labs is an advanced analytics company and a trusted partner offering services for sales, marketing, computer vision, embedded analytics, and converse AI to Fortune 500 companies and unicorns globally.","Python
Django
Hadoop
Data Structures
Algorithms",https://www.instahyre.com/job-295505-software-engineer-at-inference-labs-bangalore/
Intellect Design Arena - Data Scientist,Job available in Chennai,Founded in 2014,More than 1000 employees,"Intellect Design Arena is a product-based financial technology company that offers products and solutions catering to the needs of retail and corporate banking, central banking, insurance, e-governance, etc.","Python
NLP
Machine Learning",https://www.instahyre.com/job-295450-data-scientist-at-intellect-design-arena-chennai/
Intellect Design Arena - Python Developer,Job available in Chennai,Founded in 2014,More than 1000 employees,"Intellect Design Arena is a product-based financial technology company that offers products and solutions catering to the needs of retail and corporate banking, central banking, insurance, e-governance, etc.","Python
Flask
Django",https://www.instahyre.com/job-295448-python-developer-at-intellect-design-arena-chennai/
Joveo - Data Analyst,"Job available in Bangalore, Hyderabad",Founded in 2016,200 - 500 employees,Joveo offers a recruitment platform for enterprises. Tracks and analyses all the hiring data from different sources to focus on most attributed source for hiring suitable candidates.,"Python
Power BI
SQL
Tableau",https://www.instahyre.com/job-295371-data-analyst-at-joveo-bangalore-hyderabad/
Kognitos - Implementation Engineer,Job available in Bangalore,Founded in 2021,10 - 50 employees,Kognitos is a software development organization and natural language automation platform that aims to bring the power of programming for all and to offer hyper-automation for a vast range of verticals.,"Python
Robotic Process Automation
Automation Anywhere
+2",https://www.instahyre.com/job-295495-implementation-engineer-at-kognitos-bangalore/
R Systems International - Senior Software Engineer - Azure Migration,Job available in Noida,Founded in 1993,More than 1000 employees,"R Systems is an specialized IT Services & Solutions provider of Deep Analytics, Robotic Process Automation, QA & Testing, App Development, KPO/BPO, Supply Chain Solutions & Mobile Broadband Management.","Python
Terraform
Azure
Data Migration
Azure DevOps Server",https://www.instahyre.com/job-295369-senior-software-engineer-azure-migration-at-r-systems-international-noida/
Thimblerr - Full Stack Engineer,Job available in Gurgaon,Founded in 2022,0 - 10 employees,"Thimblerr combines cutting-edge tech and AI infrastructure to help varied brands reduce inventory risk and scale up by providing solutions across design, planning, sourcing, supply chain, and finance.","Python
React.js
JavaScript",https://www.instahyre.com/job-295348-full-stack-engineer-at-thimblerr-gurgaon/
Walmart Global Tech India - Senior Software Engineer - Fullstack,Job available in Bangalore,Founded in 1962,More than 1000 employees,Walmart is the world's largest company by revenue - approx $480 billion according to the Fortune Global 500 list in 2016 Walmart Labs is the technology arm of Walmart with a major development center in Bangalore.,"Python
JavaScript
Django
Node.js
React.js",https://www.instahyre.com/job-295362-senior-software-engineer-fullstack-at-walmart-global-tech-india-bangalore/
Wint Wealth - Data Scientist,Job available in Bangalore,Founded in 2020,50 - 200 employees,Wint Wealth is an investment products introducer and financial service providing platform for retail investors to invest in assets that give higher than fixed deposit returns but are less risky than equities.,"Python
Machine Learning
NLP
TensorFlow
Data Visualization",https://www.instahyre.com/job-295366-data-scientist-at-wint-wealth-bangalore/
Yubi - SSE,Job available in Chennai,Founded in 2020,500 - 1000 employees,"Yubi is a comprehensive enterprise and retail debt platform for lenders, and investors that offers full-stack technology-led solutions for the entire discovery, investment, and fulfillment of debt deals.","Python
Java
Data Structures
Algorithms",https://www.instahyre.com/job-295500-sse-at-yubi-chennai/
Bristol Myers Squibb - Cloud Computing Developer II,Job available in Hyderabad,Founded in 1887,More than 1000 employees,Bristol Myers Squibb is a global biopharmaceutical company committed to creating innovative medicines for millions of patients around the world fighting serious diseases in various therapeutic areas.,"Python
AWS
Node.js
Terraform
AWS CloudFormation",https://www.instahyre.com/job-295327-cloud-computing-developer-ii-at-bristol-myers-squibb-hyderabad/
Bristol Myers Squibb - Cloud Computing Engineer,Job available in Hyderabad,Founded in 1887,More than 1000 employees,Bristol Myers Squibb is a global biopharmaceutical company committed to creating innovative medicines for millions of patients around the world fighting serious diseases in various therapeutic areas.,"Python
Terraform
AWS
Script Writing
DevOps",https://www.instahyre.com/job-295311-cloud-computing-engineer-at-bristol-myers-squibb-hyderabad/
